route_id,stop_name,arrival_time,departure_time
FR-01,NUST Metro Station,06:00:00,06:00:00
FR-01,Police Foundation Metro Station,06:01:50,06:02:10
FR-01,Npa Stop,06:04:40,06:05:00
FR-01,Islamic University,06:07:20,06:07:40
FR-01,FAST University,06:10:20,06:10:40
FR-01,Paec General Hospital,06:13:00,06:13:20
FR-01,Imc Hospital,06:15:05,06:15:25
FR-01,Metro Cnc,06:17:45,06:18:05
FR-01,Sabzi Mandi,06:19:25,06:19:45
FR-01,Mandi Morh,06:22:15,06:22:35
FR-01,Kurang Road Stop,06:24:00,06:24:20
FR-01,Iesco,06:26:00,06:26:20
FR-01,Ptcl I-10,06:27:50,06:28:10
FR-01,Sui Gas Stop,06:29:35,06:29:55
FR-01,Ogti Stop,06:35:25,06:35:45
FR-01,Cda Complain Center,06:39:35,06:39:55
FR-01,Mci Model School,06:45:00,06:45:00
FR-01,NUST Metro Station,07:00:00,07:00:00
FR-01,Police Foundation Metro Station,07:01:50,07:02:10
FR-01,Npa Stop,07:04:40,07:05:00
FR-01,Islamic University,07:07:20,07:07:40
FR-01,FAST University,07:10:20,07:10:40
FR-01,Paec General Hospital,07:13:00,07:13:20
FR-01,Imc Hospital,07:15:05,07:15:25
FR-01,Metro Cnc,07:17:45,07:18:05
FR-01,Sabzi Mandi,07:19:25,07:19:45
FR-01,Mandi Morh,07:22:15,07:22:35
FR-01,Kurang Road Stop,07:24:00,07:24:20
FR-01,Iesco,07:26:00,07:26:20
FR-01,Ptcl I-10,07:27:50,07:28:10
FR-01,Sui Gas Stop,07:29:35,07:29:55
FR-01,Ogti Stop,07:35:25,07:35:45
FR-01,Cda Complain Center,07:39:35,07:39:55
FR-01,Mci Model School,07:45:00,07:45:00
FR-01,NUST Metro Station,08:00:00,08:00:00
FR-01,Police Foundation Metro Station,08:01:50,08:02:10
FR-01,Npa Stop,08:04:40,08:05:00
FR-01,Islamic University,08:07:20,08:07:40
FR-01,FAST University,08:10:20,08:10:40
FR-01,Paec General Hospital,08:13:00,08:13:20
FR-01,Imc Hospital,08:15:05,08:15:25
FR-01,Metro Cnc,08:17:45,08:18:05
FR-01,Sabzi Mandi,08:19:25,08:19:45
FR-01,Mandi Morh,08:22:15,08:22:35
FR-01,Kurang Road Stop,08:24:00,08:24:20
FR-01,Iesco,08:26:00,08:26:20
FR-01,Ptcl I-10,08:27:50,08:28:10
FR-01,Sui Gas Stop,08:29:35,08:29:55
FR-01,Ogti Stop,08:35:25,08:35:45
FR-01,Cda Complain Center,08:39:35,08:39:55
FR-01,Mci Model School,08:45:00,08:45:00
FR-01,NUST Metro Station,09:00:00,09:00:00
FR-01,Police Foundation Metro Station,09:01:50,09:02:10
FR-01,Npa Stop,09:04:40,09:05:00
FR-01,Islamic University,09:07:20,09:07:40
FR-01,FAST University,09:10:20,09:10:40
FR-01,Paec General Hospital,09:13:00,09:13:20
FR-01,Imc Hospital,09:15:05,09:15:25
FR-01,Metro Cnc,09:17:45,09:18:05
FR-01,Sabzi Mandi,09:19:25,09:19:45
FR-01,Mandi Morh,09:22:15,09:22:35
FR-01,Kurang Road Stop,09:24:00,09:24:20
FR-01,Iesco,09:26:00,09:26:20
FR-01,Ptcl I-10,09:27:50,09:28:10
FR-01,Sui Gas Stop,09:29:35,09:29:55
FR-01,Ogti Stop,09:35:25,09:35:45
FR-01,Cda Complain Center,09:39:35,09:39:55
FR-01,Mci Model School,09:45:00,09:45:00
FR-01,NUST Metro Station,10:00:00,10:00:00
FR-01,Police Foundation Metro Station,10:01:50,10:02:10
FR-01,Npa Stop,10:04:40,10:05:00
FR-01,Islamic University,10:07:20,10:07:40
FR-01,FAST University,10:10:20,10:10:40
FR-01,Paec General Hospital,10:13:00,10:13:20
FR-01,Imc Hospital,10:15:05,10:15:25
FR-01,Metro Cnc,10:17:45,10:18:05
FR-01,Sabzi Mandi,10:19:25,10:19:45
FR-01,Mandi Morh,10:22:15,10:22:35
FR-01,Kurang Road Stop,10:24:00,10:24:20
FR-01,Iesco,10:26:00,10:26:20
FR-01,Ptcl I-10,10:27:50,10:28:10
FR-01,Sui Gas Stop,10:29:35,10:29:55
FR-01,Ogti Stop,10:35:25,10:35:45
FR-01,Cda Complain Center,10:39:35,10:39:55
FR-01,Mci Model School,10:45:00,10:45:00
